total_timesteps,explained_variance,nupdates,policy_entropy,value_loss,fps,ep_len_mean,ep_reward_mean
180000,0.9942200570367277,9000,1.9287086725234985,0.00047157765948213637,1824,606.8,-4.83
182000,0.7728218287229538,9100,1.9728256464004517,0.012150891125202179,1825,607.49,-4.8
184000,0.9765782561153173,9200,2.000947952270508,0.000890154973603785,1824,607.98,-4.81
186000,0.5923430621623993,9300,2.0448498725891113,0.04738616943359375,1825,612.49,-4.81
188000,-3.6835503578186035,9400,2.0203089714050293,0.018083881586790085,1825,615.96,-4.81
190000,0.9921199176460505,9500,1.9189236164093018,0.002243229653686285,1822,617.14,-4.8
192000,0.9457131773233414,9600,2.0119271278381348,0.0009141005575656891,1821,616.28,-4.78
194000,0.9983317081350833,9700,2.036956787109375,9.67972882790491e-05,1820,616.89,-4.78
196000,0.9846729515120387,9800,2.0001633167266846,0.0012147113448008895,1818,625.87,-4.78
198000,0.5154207646846771,9900,1.825164794921875,0.23358683288097382,1818,624.92,-4.78
200000,0.9991792057990097,10000,1.9712108373641968,5.8912431995850056e-05,1815,627.64,-4.79
202000,0.9863400859758258,10100,1.9695987701416016,0.0012699478538706899,1815,623.67,-4.79
204000,0.9714416675269604,10200,1.9560778141021729,0.0011085341684520245,1818,631.24,-4.78
206000,-0.2857164144515991,10300,1.8923648595809937,0.24281911551952362,1819,622.17,-4.81
208000,0.8897956535220146,10400,1.9780395030975342,0.012838673777878284,1821,622.67,-4.8
