entropy,surrgain,EpThisIter,TimestepsSoFar,EpLenMean,EpRewMean,optimgain,EpisodesSoFar,TimeElapsed,explained_variance_tdlam_before,entloss,meankl
0.3948677,0.018016422,0,10114048,3000.0,0.05,0.018016422,4299,9105.798536539078,0.22761094570159912,0.0,0.008125764
0.39891016,0.029838413,0,10115072,3000.0,0.05,0.029838413,4299,9106.66199707985,0.4740667939186096,0.0,0.005441281
0.34834796,0.046627708,1,10116096,3000.0,0.1,0.046627708,4300,9107.498897790909,0.5057623386383057,0.0,0.013828698
0.3534552,0.025533553,0,10117120,3000.0,0.1,0.025533553,4300,9108.365805149078,0.5971291959285736,0.0,0.007501287
0.40676382,0.036129527,0,10118144,3000.0,0.1,0.036129527,4300,9109.323491334915,-0.9193359613418579,0.0,0.0041301707
0.39031738,0.012267626,1,10119168,3000.0,-0.05,0.012267626,4301,9110.204770565033,-1.6669049263000488,0.0,0.0041532684
0.41688287,0.017312141,0,10120192,3000.0,-0.05,0.017312141,4301,9111.04674911499,-5.798798561096191,0.0,0.0068909666
0.4106059,0.02622334,0,10121216,3000.0,-0.05,0.02622334,4301,9111.93029141426,-0.5207105875015259,0.0,0.0058915797
0.42615554,0.031219075,1,10122240,3000.0,-0.05,0.031219075,4302,9112.899072408676,-0.41900181770324707,0.0,0.007786031
0.40320408,0.031745303,0,10123264,3000.0,-0.05,0.031745303,4302,9113.743203639984,-0.9858249425888062,0.0,0.0065657943
0.38084313,0.011507652,1,10124288,3000.0,-0.025,0.011507652,4303,9114.661317110062,0.4165962338447571,0.0,0.00515601
0.36882457,0.032619137,0,10125312,3000.0,-0.025,0.032619137,4303,9115.55631184578,0.5643436908721924,0.0,0.013451179
0.42121395,0.02021585,0,10126336,3000.0,-0.025,0.02021585,4303,9116.418282032013,-0.10546040534973145,0.0,0.007270393
0.3745754,0.016834771,1,10127360,3000.0,-0.025,0.016834771,4304,9117.288714170456,0.5409902334213257,0.0,0.013473218
0.3682107,0.039901774,0,10128384,3000.0,-0.025,0.039901774,4304,9118.154455900192,0.15681076049804688,0.0,0.013321387
0.3839859,0.031048216,0,10129408,3000.0,-0.025,0.031048216,4304,9119.01682138443,-0.2648504972457886,0.0,0.007853698
0.3534711,0.035691507,1,10130432,3000.0,-0.025,0.035691507,4305,9119.901736736298,0.33285194635391235,0.0,0.007420268
0.41381195,0.023450268,0,10131456,3000.0,-0.025,0.023450268,4305,9120.73227763176,-1.1338493824005127,0.0,0.0048811315
0.3650425,0.02220942,0,10132480,3000.0,-0.025,0.02220942,4305,9121.620118141174,-0.10728466510772705,0.0,0.004709134
0.4137895,0.025573831,1,10133504,3000.0,-0.025,0.025573831,4306,9122.524823904037,-0.044115662574768066,0.0,0.004996705
0.40399468,0.033903446,0,10134528,3000.0,-0.025,0.033903446,4306,9123.399536371231,-0.8147139549255371,0.0,0.0066749468
0.40229672,0.03762198,0,10135552,3000.0,-0.025,0.03762198,4306,9124.320802688599,-0.2299739122390747,0.0,0.008931881
0.37784806,0.03522494,1,10136576,3000.0,-0.025,0.03522494,4307,9125.159881591797,-0.3861429691314697,0.0,0.006314405
0.37975222,0.02876443,0,10137600,3000.0,-0.025,0.02876443,4307,9125.995136260986,-1.95816969871521,0.0,0.0076653
0.39792758,0.014785628,0,10138624,3000.0,-0.025,0.014785628,4307,9126.824983358383,-6.873877048492432,0.0,0.0040127444
0.3885957,0.057260893,1,10139648,3000.0,0.0,0.057260893,4308,9127.732820272446,-0.9923464059829712,0.0,0.01187722
0.38631588,0.046140693,0,10140672,3000.0,0.0,0.046140693,4308,9128.627732992172,-3.404038906097412,0.0,0.014139392
0.41022563,0.029245216,0,10141696,3000.0,0.0,0.029245216,4308,9129.513113975525,-1.6871426105499268,0.0,0.00840917
0.30242887,0.02171056,1,10142720,3000.0,0.0,0.02171056,4309,9130.380246639252,0.557044118642807,0.0,0.003833883
0.39175618,0.029264864,0,10143744,3000.0,0.0,0.029264864,4309,9131.274639606476,-0.8395768404006958,0.0,0.0056933
0.4118235,0.037882496,0,10144768,3000.0,0.0,0.037882496,4309,9132.085113286972,-0.34241390228271484,0.0,0.005490762
0.41672382,0.03866227,1,10145792,3000.0,-0.025,0.03866227,4310,9132.894639730453,0.07642406225204468,0.0,0.0061752805
0.4231885,0.040703714,0,10146816,3000.0,-0.025,0.040703714,4310,9133.71777844429,0.548557460308075,0.0,0.0051786015
0.3907869,0.01805556,0,10147840,3000.0,-0.025,0.01805556,4310,9134.60116314888,-1.3585233688354492,0.0,0.0050379466
0.45501524,0.044359025,1,10148864,3000.0,-0.075,0.044359025,4311,9135.500044822693,-0.3491194248199463,0.0,0.0053928513
